,Contract,Values,,,,,,,
,Month-to-month,,One year,,Two year,,,,
InternetService,COUNTA of customerID,SUM of churn_flag,COUNTA of customerID,SUM of churn_flag,COUNTA of customerID,SUM of churn_flag,M-M Rate,1Y Rate,2Y Rate
DSL,1223,394,570,53,628,12,32.22%,9.30%,1.91%
Fiber optic,2128,1162,539,104,429,31,54.61%,19.29%,7.23%
No,524,99,364,9,638,5,18.89%,2.47%,0.78%
Grand Total,3875,1655,1473,166,1695,48,42.71%,11.27%,2.83%
